date,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2016-08-31,31000.0,22272000,10767000.0,-5267000,49250000,,-26238000,27694000,22272000,473045000,-644000,282907000,9736000.0,29956000.0,73542000.0,110000.0,1760000.0,20920000.0,-3094000,80842000,7464000.0,44376000.0,596644000,10791000,202616000,3000.0,21882000,1096735000,199522000,199522000,1456000,31099000.0,,,1411000.0,,584181000,,0.74,4097000.0,29961000.0,22571000.0,267173000,-1317000.0,114408000,-103951000.0,458664000,711052000,670586000.0,33566000,-12625000.0,4226000.0,-29129000.0,44240000,2390000.0,2359000.0,199522000,-26248000,-10645000.0,0.74,90760000,351060000,,638071000,80040000,367904000,35637000.0,32038000.0,0.0,-10434000.0,0.0,512554000,0.0,-197541000.0,6497000,,
2016-11-30,0.0,24869000,10773000.0,-7162000,51262000,,-16973000,2057000,24869000,469423000,-1335000,326989000,11437000.0,29982000.0,69788000.0,153000.0,1647000.0,20905000.0,-24120000,82115000,7761000.0,42942000.0,618671000,11117000,199522000,3000.0,24449000,1117870000,175402000,175402000,-14916000,26875000.0,,,1654000.0,,583007000,,0.82,984000.0,29987000.0,12894000.0,280601000,,120901000,-114332000.0,462869000,739572000,674064000.0,38786000,-37762000.0,4892000.0,-44082000.0,49070000,2442000.0,2442000.0,175402000,-17365000,,0.82,86501000,375929000,,655001000,82228000,376368000,35603000.0,36299000.0,-500000.0,-7843000.0,,534863000,0.0,-204641000.0,883000,,
2017-02-28,-12140000.0,27219000,10759000.0,13480000,52343000,,-70047000,62387000,27219000,535479000,580000,296984000,11989000.0,30004000.0,101942000.0,87000.0,1693000.0,22921000.0,6588000,85996000,6384000.0,39714000.0,667563000,11445000,175402000,3000.0,26874000,1156952000,181990000,181990000,-7660000,21184000.0,,,1644000.0,,649856000,,0.9,-2396000.0,30008000.0,-13711000.0,265756000,,125733000,-104811000.0,485258000,793296000,,39737000,23254000.0,5933000.0,30005000.0,52311000,2736000.0,2736000.0,181990000,-69774000,,0.9,119020000,381864000,,671694000,85996000,366238000,35692000.0,39222000.0,200000.0,-9399000.0,,507096000,0.0,,891000,,
2017-05-31,18000.0,18838000,10766000.0,1884000,47014000,,-12521000,21835000,18838000,533157000,737000,279417000,8459000.0,30043000.0,104338000.0,400000.0,1472000.0,22346000.0,10116000,84670000,6591000.0,41052000.0,617598000,11883000,181990000,3000.0,18566000,1143876000,192106000,192106000,9314000,20376000.0,,,1828000.0,,643141000,,0.62,4555000.0,30045000.0,-32008000.0,233226000,-70000.0,112660000,-108258000.0,454489000,730258000,,27990000,-15931000.0,5257000.0,17567000.0,41002000,2150000.0,2132000.0,192106000,-12367000,0.0,0.62,121189000,400702000,,689387000,84661000,333300000,35632000.0,27291000.0,0.0,-10946000.0,,500735000,21802000.0,,282000,,
2017-08-31,-66000.0,19798000,10765000.0,-30007000,44949000,,-35753000,36577000,19798000,557829000,-702000,310946000,10133000.0,30043000.0,87939000.0,0.0,1812000.0,22100000.0,-29588000,85664000,6460000.0,45634000.0,615920000,11847000,192106000,3000.0,19511000,1177514000,162434000,162434000,824000,18358000.0,,,1651000.0,,667144000,,0.64,-5988000.0,30044000.0,36169000.0,272248000,-1182000.0,117582000,-110059000.0,468747000,733502000,782186000.0,31918000,7638000.0,5044000.0,-31529000.0,43429000,2361000.0,2427000.0,165712000,-35711000,-10644000.0,0.64,105363000,420499000,,708767000,85516000,363384000,35642000.0,29931000.0,0.0,-18386000.0,,510370000,0.0,-224357000.0,56000,,
2017-11-30,0.0,22490000,10781000.0,-5296000,49492000,,-19752000,-10163000,22490000,567038000,119000,372413000,10115000.0,30078000.0,80340000.0,0.0,1647000.0,22234000.0,-33170000,88762000,6602000.0,47503000.0,644985000,12237000,165712000,3000.0,22190000,1222828000,129183000,129183000,-29915000,20740000.0,,,1255000.0,,678089000,,0.74,-349000.0,30079000.0,21372000.0,297371000,,122087000,-111468000.0,490519000,767072000,,33325000,-47144000.0,5217000.0,-61467000.0,46081000,2461000.0,2461000.0,132542000,-19732000,,0.74,97454000,443356000,,732309000,88332000,393065000,35578000.0,32589000.0,0.0,-22250000.0,,544739000,71000.0,,5731000,,
2018-02-28,,14148000,10786000.0,-16563000,45252000,,-26481000,69242000,14148000,580117000,-1759000,314811000,22707000.0,30100000.0,82512000.0,,1800000.0,24255000.0,23069000,92290000,8194000.0,45131000.0,708040000,12575000,132542000,3000.0,14148000,1191724000,152132000,152132000,42761000,14160000.0,,,992000.0,,686107000,,0.47,7017000.0,30100000.0,-39441000.0,253579000,,131523000,-106250000.0,460490000,839563000,,39233000,31124000.0,8839000.0,57602000.0,50417000,2420000.0,,155611000,-26447000,,0.47,103874000,436207000,,731234000,92209000,356616000,35473000.0,36850000.0,,-58148000.0,,505617000,,,43000,,
2018-05-31,,18694000,10769000.0,9470000,47209000,,-28555000,31686000,18716000,597240000,-963000,326200000,8128000.0,30137000.0,91208000.0,,5884000.0,23785000.0,-10798000,100690000,8998000.0,52446000.0,652694000,13566000,155611000,3000.0,18450000,1246470000,141164000,141164000,3131000,14978000.0,,,1362000.0,,736752000,15593000.0,0.61,-131000.0,30137000.0,10661000.0,268976000,-83000.0,129507000,-108576000.0,495771000,782201000,,28817000,-3469000.0,5124000.0,-11389000.0,41790000,2588000.0,,144813000,-52111000,0.0,0.61,119810000,454901000,,750107000,100338000,375961000,51351000.0,26862000.0,,-30291000.0,,509718000,,,411000,,
2018-08-31,,18996000,10758000.0,-15428000,47539000,,-23321000,28689000,19049000,594403000,-473000,321025000,7227000.0,30143000.0,87720000.0,,1894000.0,23018000.0,-47899000,99120000,8859000.0,51117000.0,650801000,14262000,144813000,3000.0,18741000,1216392000,125764000,93460000,5368000,14855000.0,,,1462000.0,,728539000,14980000.0,0.62,425000.0,30143000.0,-9081000.0,255739000,-1267000.0,127065000,-121216000.0,457754000,777866000,864173000.0,27945000,-8187000.0,4636000.0,5175000.0,42011000,2749000.0,,96914000,-55489000,-10595000.0,0.62,108389000,473954000,32304000.0,758002000,99070000,349365000,46329000.0,26287000.0,-400000.0,-3250000.0,0.0,487853000,,-269770000.0,51000,,
2018-11-30,-33000.0,14612000,10734000.0,-3496000,49758000,,-35673000,25707000,14645000,605612000,-2034000,380079000,7540000.0,30172000.0,79877000.0,,1923000.0,22584000.0,-8528000,101572000,9830000.0,54000000.0,653180000,13723000,96914000,3000.0,14419000,1277243000,107033000,81047000,-9966000,19376000.0,-6190000.0,12406000.0,1033000.0,,742495000,14381000.0,0.48,316000.0,30189000.0,55985000.0,312390000,,126457000,-134462000.0,511159000,779637000,,24885000,-9269000.0,2211000.0,-59054000.0,36965000,6046000.0,,88386000,-29364000,,0.48,100598000,488566000,25986000.0,765414000,101557000,410561000,46248000.0,22209000.0,,-3463000.0,,534748000,,,17000,,
2019-02-28,-53000.0,23810000,10714000.0,-16337000,46266000,,-26982000,50593000,23863000,626279000,-630000,334899000,11703000.0,30206000.0,69793000.0,,2078000.0,24725000.0,9691000,100773000,10500000.0,52871000.0,716858000,14106000,88386000,3000.0,23783000,1258230000,113762000,90261000,23611000,26193000.0,-2952000.0,5470000.0,1001000.0,,758707000,13788000.0,0.79,-1232000.0,30211000.0,-40746000.0,274311000,,137567000,-130110000.0,484640000,854425000,,36794000,10217000.0,3793000.0,45180000.0,50693000,3345000.0,,98077000,-24453000,,0.79,92075000,491032000,23501000.0,773160000,100676000,392565000,46263000.0,35586000.0,,-2882000.0,,499523000,,,301000,,
2019-05-31,27000.0,14096000,10710000.0,-1714000,45643000,,-23754000,36652000,14069000,629063000,-103000,326724000,7478000.0,30198000.0,69476000.0,,1766000.0,25070000.0,15906000,104410000,9543000.0,53389000.0,661887000,12536000,98077000,3000.0,13907000,1261864000,123468000,106445000,12898000,25632000.0,-5062000.0,11609000.0,915000.0,,761344000,13182000.0,0.46,-1821000.0,30205000.0,-1827000.0,271298000,-728000.0,126669000,-141168000.0,482809000,788556000,,22259000,8433000.0,4219000.0,8175000.0,35002000,3124000.0,,113983000,-17154000,-1000.0,0.46,92529000,505127000,17023000.0,778593000,102763000,390280000,46158000.0,21551000.0,,-6192000.0,,500520000,,,345000,,
2019-08-31,-239000.0,20673000,10697000.0,-10408000,48516000,,-53652000,57380000,20912000,671151000,212000,331273000,10839000.0,30205000.0,63711000.0,,2015000.0,25340000.0,-7747000,105357000,9872000.0,57843000.0,663766000,14593000,113983000,3000.0,20366000,1296411000,119698000,102653000,3728000,33415000.0,-1040000.0,1042000.0,990000.0,,804515000,12576000.0,0.67,-1664000.0,30205000.0,11913000.0,286219000,-1459000.0,137534000,-144339000.0,498132000,801300000,979290000.0,32177000,20657000.0,4637000.0,-4549000.0,47347000,2546000.0,,106236000,-53733000,-10668000.0,0.67,90678000,525804000,17045000.0,797351000,104390000,407454000,46101000.0,31764000.0,,-11265000.0,0.0,491896000,28263000.0,-308139000.0,354000,,
2019-11-30,19000.0,19728000,10649000.0,37343000,54479000,,-37582000,16104000,19709000,811478000,-1056000,388072000,9403000.0,30277000.0,98084000.0,127000.0,1829000.0,25147000.0,8877000,106210000,10293000.0,64523000.0,674946000,14814000,106236000,3000.0,19470000,1524111000,136457000,111359000,-21478000,36744000.0,-10184000.0,2066000.0,862000.0,,952234000,11977000.0,0.64,-1234000.0,30284000.0,45880000.0,328585000,-461000.0,136995000,-147524000.0,706339000,811941000,811478000.0,30785000,-20681000.0,6640000.0,-56799000.0,44836000,3396000.0,,115113000,-45687000,,0.64,236263000,545532000,25098000.0,816829000,105257000,470076000,45425000.0,29160000.0,,-68417000.0,,571877000,34243000.0,,372000,,
