date,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyInventory
2015-03-31,9097512000,-7885000.0,,127451000,1.56,50673000.0,194928000.0,194928000.0,-4209000,,0.0,-40950000.0,94131000.0,508276000.0,1322000.0,-8679000,-107529000,132219579.0,50673000.0,-16900000,442367000,156111000,-2989899000.0,-6996000,-313348000,236380000,18314655000.0,733000.0,327230000.0,-223330000.0,,0.0,,208053000.0,15324756000.0,272964000,,,733000.0,1973000.0,227701000,,158805000.0,7165503000.0,282619000.0,16263748000,15936518000.0,6562331000.0,1.57,541991000.0,10598000,208053000,116853000,,,-2198000,,-442199000,283562000.0,97515000.0,194928000.0,208144000,,208144000,262050000.0,290116000.0,7166236000,133175773.0,-153095000.0,,,,,,,,
2015-06-30,9210485000,59153000.0,,128962000,1.29,53403000.0,65126000.0,65126000.0,-584017000,,0.0,-39523000.0,109158000.0,194928000.0,1329000.0,-43337000,-134358000,132319255.0,53403000.0,1281000,457459000,171588000,-3092205000.0,-4440000,-130986000,255522000,18611288000.0,657000.0,200095000.0,-217441000.0,1293000.0,-803000.0,,173546000.0,15519083000.0,290215000,,,657000.0,95353000.0,212185000,,156909000.0,7109334000.0,282942000.0,16320476000,16120381000.0,6487130000.0,1.3,558213000.0,10335000,172253000,118627000,,,-4615000,,-252150000,300550000.0,46548000.0,65126000.0,172324000,,172324000,264616000.0,274743000.0,7109991000,133086439.0,-165145000.0,,,,,,,,
2015-09-30,9829453000,-6116000.0,,130648000,1.53,54048000.0,318557000.0,318557000.0,-155427000,,0.0,-38181000.0,103042000.0,65126000.0,1369000.0,-393561000,243227000,133973114.0,54048000.0,43268000,475360000,179808000,-3212258000.0,-3018000,253431000,302370000,19002878000.0,0.0,451320000.0,-182487000.0,39000.0,-78000.0,,206115000.0,15790620000.0,299992000,,,0.0,577305000.0,309141000,,164904000.0,6952526000.0,307099000.0,16781979000,16330659000.0,6306727000.0,1.54,581239000.0,10464000,206076000,120184000,,-78000.0,-12640000,,-292166000,310456000.0,69541000.0,318557000.0,206142000,,206142000,268647000.0,271392000.0,6952526000,134709460.0,-166011000.0,,,,,,,,
2015-12-31,9840526000,-4240000.0,,133687000,1.13,53132000.0,400507000.0,400507000.0,-107310000,,30077000.0,-31387000.0,98802000.0,318557000.0,1370000.0,-10620000,32470000,136981717.0,53132000.0,-3590000,480840000,190008000,-3303751000.0,-2936000,81950000,262482000,19228571000.0,553000.0,535405000.0,-197989000.0,215000.0,-5701000.0,,155567000.0,15924820000.0,312267000,,,553000.0,15553000.0,251862000,,157145000.0,7090226000.0,300090000.0,16931305000,16395900000.0,6456948000.0,1.13,570149000.0,11428000,155352000,122259000,,-5701000.0,-3798000,,-213002000,323695000.0,7776000.0,400507000.0,155428000,,155428000,216919000.0,236672000.0,7090779000,137349671.0,-170997000.0,,,,,,,,
2016-03-31,9846532000,-59683000.0,,138620000,1.73,55770000.0,97541000.0,97541000.0,-19682000,,31964000.0,-77770000.0,99644000.0,400507000.0,1372000.0,-14882000,-196021000,137149999.0,55770000.0,-12858000,508498000,204330000,-3430592000.0,-2843000,-302966000,277782000,19723121000.0,628381000.0,299866000.0,-146799000.0,37000.0,-913000.0,,237914000.0,16292529000.0,331546000,,,55770000.0,1102000.0,262900000,,165548000.0,7196858000.0,343564000.0,17043390000,16743524000.0,6502580000.0,1.73,628381000.0,11404000,237877000,127216000,0.0,-913000.0,-6290000,,-384727000,342950000.0,76994000.0,97541000.0,237931000,,237931000,182367000.0,250179000.0,7196858000,137383044.0,-171151000.0,,,,,,,,
2016-06-30,9856519000,78953000.0,,144480000,1.44,58093000.0,182306000.0,182306000.0,-137870000,,33624000.0,-102997000.0,100876000.0,97541000.0,1373000.0,-13733000,144792000,137277401.0,58093000.0,-12359000,502307000,189011000,-3540481000.0,-2766000,84765000,267737000,19972681000.0,1549000.0,321315000.0,-134808000.0,36000.0,-120735000.0,,197355000.0,16432200000.0,321480000,,,1549000.0,11702000.0,254004000,33624000.0,168816000.0,7536999000.0,348701000.0,17395067000,17073752000.0,6833991000.0,1.44,634946000.0,12011000,197319000,132469000,,-120735000.0,-18794000,,-327764000,333491000.0,54925000.0,182306000.0,197444000,,197444000,325614000.0,250044000.0,7538548000,137437733.0,-185084000.0,,,,,,,,
2016-09-30,10036624000,-71100000.0,,143657000,2.59,57495000.0,65899000.0,65899000.0,-253543000,,0.0,-100531000.0,100113000.0,182306000.0,1373000.0,-19918000,-268456000,137333785.0,57495000.0,22438000,516211000,196632000,-3591604000.0,-1275000,-116407000,306149000,20362663000.0,3845000.0,264828000.0,36043000.0,22000.0,119199000.0,,356351000.0,16771059000.0,328361000,,,3845000.0,1343000.0,286231000,,175922000.0,7548188000.0,379276000.0,17588657000,17323829000.0,6815970000.0,2.6,664773000.0,11928000,356329000,131729000,170000000.0,119199000.0,-1006000,,-154100000,340289000.0,207590000.0,65899000.0,356392000,,356392000,176882000.0,275537000.0,7552033000,137505054.0,-185250000.0,,,,,,,,
2016-12-31,10171416000,47107000.0,,150448000,1.76,57023000.0,214994000.0,214994000.0,-258320000,,32071000.0,-30510000.0,100998000.0,65899000.0,1373000.0,-24319000,28040000,137341078.0,57023000.0,-26000,518240000,199624000,-3743632000.0,-2578000,149095000,291816000,20755780000.0,808000.0,362048000.0,94899000.0,210000.0,-7301000.0,,242393000.0,17012148000.0,339644000,,,808000.0,1379000.0,267497000,,168168000.0,7695047000.0,312983000.0,17867271000,17505223000.0,7030880000.0,1.76,599378000.0,10428000,242183000,140020000,,,-7405000,,-170761000,350072000.0,92417000.0,214994000.0,242235000,,242235000,175116000.0,297113000.0,7695855000,137519045.0,-185264000.0,,,,,,,,
2017-03-31,10266622000,-131493000.0,,153847000,1.72,57183000.0,121705000.0,121705000.0,-21037000,,0.0,-28613000.0,96672000.0,214994000.0,1378000.0,-10444000,-151404000,137448610.0,57183000.0,4611000,522326000,193826000,-3852593000.0,-2530000,-93289000,293462000,20919484000.0,0.0,400887000.0,133674000.0,20000.0,-5774000.0,,235781000.0,17066891000.0,334447000,,,0.0,56817000.0,283018000,,174653000.0,7711799000.0,347780000.0,17978421000,17577534000.0,7005729000.0,1.72,640109000.0,13226000,235781000,140621000,,,-1992000,,-235347000,347673000.0,91250000.0,121705000.0,235875000,,235875000,183403000.0,327240000.0,7711799000,137531242.0,-185192000.0,,,,,,,,
2017-06-30,10282412000,7263000.0,,155444000,1.2,59176000.0,53477000.0,53477000.0,-1282940000,,0.0,-42989000.0,94535000.0,121705000.0,1381000.0,-18305000,-205859000,137971632.0,59176000.0,-26583000,530512000,196270000,-3969049000.0,337000,-68228000,268898000,21088796000.0,122000.0,326807000.0,102546000.0,58000.0,-4326000.0,,165194000.0,17119747000.0,337709000,,,122000.0,53216000.0,250593000,,178798000.0,7661211000.0,310820000.0,17943745000,17616938000.0,6991759000.0,1.2,601434000.0,14005000,165194000,141439000,105000000.0,,-19320000,,-131267000,351714000.0,19026000.0,53477000.0,165225000,,165225000,169854000.0,312066000.0,7661333000,138173151.0,-195531000.0,,,,,,,,
2017-09-30,10333813000,55115000.0,,156669000,1.72,58768000.0,36042000.0,36042000.0,-2342000,,0.0,-40863000.0,84338000.0,53477000.0,1381000.0,-18368000,-63031000,138104883.0,58768000.0,43185000,550500000,208044000,-4079946000.0,2056000,-17435000,355213000,21492926000.0,600000.0,250588000.0,144647000.0,24000.0,-4460000.0,,238199000.0,17412980000.0,353034000,,,600000.0,84000.0,336845000,,185787000.0,7843424000.0,367470000.0,18177837000,17927249000.0,7128030000.0,1.73,647887000.0,11679000,238199000,144990000,242000000.0,,-1811000,,-309617000,364713000.0,77896000.0,36042000.0,238248000,,238248000,155428000.0,325668000.0,7844024000,138307046.0,-195962000.0,,,,,,,,
2017-12-31,10388046000,52137000.0,,169004000,1.72,58473000.0,67088000.0,67088000.0,-325657000,,32686000.0,-37419000.0,85377000.0,36042000.0,1381000.0,-26873000,1347000,138110099.0,58473000.0,14617000,555292000,206139000,-4218379000.0,2267000,50881000,338684000,21935936000.0,632776000.0,234592000.0,188609000.0,39000.0,-9933000.0,,237486000.0,17717557000.0,363239000,,,0.0,976000.0,311811000,,180149000.0,8026775000.0,351305000.0,18414821000,18180229000.0,7329470000.0,1.72,632776000.0,11904000,237486000,157100000,,,-5910000,52523000.0,-289150000,375143000.0,83870000.0,201906000.0,237573000,,237573000,163475000.0,299197000.0,8026775000,138245981.0,-195972000.0,,,,,,,,
2018-03-31,10335124000,746000.0,,172723000,1.03,58760000.0,137244000.0,137244000.0,-28851000,,,-24162000.0,83209000.0,201906000.0,1382000.0,-16975000,72868000,138183976.0,58760000.0,5069000,560792000,197792000,,2538000,69501000,315913000,,1244000.0,304537000.0,128166000.0,0.0,-4368000.0,,141590000.0,,356851000,4029000.0,,1244000.0,0.0,298938000,,190277000.0,8310079000.0,359537000.0,18646447000,18341910000.0,7599455000.0,1.03,645912000.0,13664000,141590000,159059000,,,-1724000,55113000.0,-319280000,370515000.0,-1089000.0,271407000.0,141643000,,141643000,164344000.0,293019000.0,8311323000,138183976.0,-195999000.0,,,,,,,,
2018-06-30,10398188000,31953000.0,,171187000,1.84,61505000.0,101565000.0,101565000.0,-30998000,,,-22707000.0,92798000.0,271407000.0,1382000.0,-22002000,-233493000,138234894.0,61505000.0,-9204000,569239000,207828000,,3078000,78490000,309384000,,634030000.0,384371000.0,179066000.0,58000.0,-2734000.0,,254543000.0,,364513000,6098000.0,,596000.0,833000.0,287382000,,190224000.0,8272820000.0,337164000.0,18671008000,18286637000.0,7571278000.0,1.84,634030000.0,14502000,254543000,156684000,,,-257000,56585000.0,2599000,379015000.0,103300000.0,349897000.0,254662000,,254662000,165421000.0,260619000.0,8272820000,138234894.0,-203071000.0,,,,,,,,
2018-09-30,10397398000,22354000.0,,170472000,1.39,,55887000.0,55887000.0,-98117000,,,-21241000.0,92323000.0,349897000.0,1382000.0,-23115000,-245593000,138247503.0,61059000.0,30568000,575982000,213088000,,2434000,-68306000,356062000,,664357000.0,315723000.0,167946000.0,29000.0,-877000.0,,192407000.0,,369626000,,,1037000.0,391000.0,332947000,,192422000.0,8264721000.0,367373000.0,18662119000,18346396000.0,7533228000.0,1.39,664357000.0,13934000,192407000,156539000,,,-785000,,-178775000,383560000.0,33416000.0,281591000.0,192486000,,192486000,173563000.0,242620000.0,8264721000,138323064.0,-203082000.0,,,,,,,,
2018-12-31,10632606000,5990000.0,,173019000,2.79,,91659000.0,91659000.0,-357135000,,,-26144000.0,96983000.0,281591000.0,1385000.0,-24840000,-282284000,138322285.0,58415000.0,-6182000,578522000,215576000,,2091000,-63727000,319752000,,645672000.0,249680000.0,350777000.0,-247000.0,-3038000.0,,385636000.0,,374490000,,,150000.0,51037000.0,294912000,,189927000.0,7747594000.0,344348000.0,18380200000,18130520000.0,7040263000.0,2.79,645672000.0,14105000,385636000,158914000,,,-13038000,,-101195000,388595000.0,225240000.0,217864000.0,385734000,,385734000,217432000.0,182158000.0,7747594000,138463943.0,-203087000.0,,,,,,,,
2019-03-31,10733999000,6263000.0,,175757000,1.23,,62999000.0,62999000.0,-1935000,,,-31907000.0,102427000.0,217864000.0,1394000.0,-20557000,-71524000,138738917.0,60461000.0,29500000,566184000,205643000,,2294000,-22657000,362053000,124370000.0,661624000.0,227954000.0,306861000.0,12000.0,-724000.0,,170418000.0,124370000.0,367700000,,,1034000.0,155561000.0,341496000,,184784000.0,7905984000.0,345413000.0,18639983000,18412029000.0,7040067000.0,1.23,802060000.0,13700000,170418000,162057000,,,-21651000,,-313186000,381400000.0,12667000.0,195207000.0,170366000,,170366000,212639000.0,323300000.0,7905984000,138832201.0,-203499000.0,,,,,,,,
2019-06-30,10750530000,1770000.0,,181658000,1.21,,243576000.0,243576000.0,-136253000,,,-33184000.0,104545000.0,195207000.0,1397000.0,-31671000,135461000,139473842.0,63183000.0,-52117000,577263000,200494000,,3345000,134837000,276214000,122381000.0,625144000.0,365128000.0,262548000.0,0.0,-494000.0,,168305000.0,122381000.0,363187000,,,541000.0,50632000.0,244543000,,195111000.0,8182045000.0,306655000.0,18932575000,18567447000.0,7352217000.0,1.21,763307000.0,18965000,168305000,162692000,,,-16925000,,-276838000,382152000.0,17821000.0,330044000.0,168281000,,168281000,208519000.0,349484000.0,8182045000,139618231.0,-211796000.0,,,,,,,,
2019-09-30,10815073000,-11010000.0,,179340000,2.0,,246425000.0,246425000.0,-22521000,,,-45082000.0,93593000.0,330044000.0,1397000.0,-44820000,-204765000,139691534.0,61961000.0,50369000,587613000,210454000,,2085000,4710000,376655000,121221000.0,682094000.0,368926000.0,329323000.0,11184000.0,-35000.0,,290893000.0,121221000.0,375917000,,,,1596000.0,331835000,,197819000.0,8245394000.0,374850000.0,19060467000,18691541000.0,7361279000.0,2.0,818799000.0,13877000,279709000,165464000,,,-1919000,,-167180000,389794000.0,131932000.0,334754000.0,279677000,,279677000,207204000.0,364872000.0,8245394000,139852674.0,-212172000.0,,,,,,,,
