date,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyBasicAverageShares,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
2015-12-31,-56816000.0,9768000.0,-21959000.0,165900000,111733000,,-60045000.0,1373104000,445110000,0.41,1277038000.0,32408000,7602000.0,63054000.0,-25091000.0,8203000.0,8451000.0,-30712000.0,51926000,84422000,-31279000,-6321000,1514564000.0,991649000,27956000,1143007000,908057000,40782000,1852000,,555998000.0,381455000,44656000,-185598000.0,-495379000.0,29015000,64373000.0,248000.0,43263000,-1131000,1252000.0,31597000.0,37112000,-33131000,25611000,25611000,2345000,92158000.0,469788000,781659000,0.4,2009000,9025000.0,787000000,5891000.0,79325000,2220000,333377000,249387000.0,80065000.0,82202000,106000.0,3981000,25611000,2516111000,84422000,,84422000,100000000,,6908000,1608054000,218070000,17062000.0,74717000.0,,
2016-03-31,46082000.0,-91264000.0,105994000.0,177423000,133243000,241929000.0,-50369000.0,1450455000,479382000,0.66,1318751000.0,57732000,78430000.0,61639000.0,-20827000.0,2971000.0,2971000.0,-87108000.0,76159000,84745000,-65925000,-6765000,1548832000.0,971205000,54366000,1118961000,892221000,36823000,260000,,556720000.0,479250000,36281000,-250073000.0,-492779000.0,30760000,63064000.0,-248000.0,44903000,-260158000,4036000.0,31762000.0,324570000,-66185000,40824000,40824000,13542000,936000.0,492660000,825972000,0.65,2427000,13797000.0,617000000,4663000.0,75511000,323000,346139000,279607000.0,91909000.0,84422000,106000.0,258385000,40824000,2569416000,84745000,,84745000,100000000,,6234000,1677195000,211289000,15559000.0,-21051000.0,,
2016-06-30,4186000.0,-5842000.0,-60946000.0,178095000,136942000,240129000.0,-58184000.0,1487542000,507664000,0.83,1337116000.0,63712000,47921000.0,61341000.0,-10269000.0,1845000.0,1845000.0,-7722000.0,87230000,118119000,-25677000,-6755000,1593124000.0,1035766000,63408000,1158524000,950516000,36415000,3635000,,555530000.0,451776000,36433000,-192113000.0,-492661000.0,31402000,63109000.0,0.0,47321000,60654000,7244000.0,29928000.0,799000,-29312000,51047000,51047000,12361000,1081000.0,500043000,844455000,0.81,5608000,14459000.0,685000000,4079000.0,73230000,33374000,370722000,285091000.0,94153000.0,84745000,106000.0,-28513000,51047000,2646066000,118119000,,118119000,100000000,,6522000,1695550000,204310000,17300000.0,-13654000.0,,
2016-09-30,24009000.0,34594000.0,-45599000.0,169439000,165620000,238187000.0,-65705000.0,1429767000,590922000,1.03,1370134000.0,85079000,4547000.0,61527000.0,38529000.0,1855000.0,1855000.0,1000.0,106983000,81090000,-51065000,-6765000,1649506000.0,949154000,80756000,1212595000,944424000,40931000,917000,,555684000.0,480613000,37525000,-370399000.0,-493784000.0,35960000,63475000.0,-863000.0,48060000,-60358000,3360000.0,32883000.0,72898000,-47064000,63147000,63147000,17609000,3777000.0,461683000,876350000,0.99,2262000,12331000.0,577153000,2910000.0,80541000,-37029000,425302000,346308000.0,122461000.0,118119000,106000.0,25834000,63147000,2642362000,81090000,,81090000,150000000,,7112000,1697938000,197650000,19115000.0,-49202000.0,,
2016-12-31,-54563000.0,4777000.0,-15431000.0,149280000,115700000,236791000.0,-79568000.0,1353847000,442894000,0.76,1371895000.0,48906000,1374000.0,61559000.0,-37632000.0,1261000.0,1261000.0,-24004000.0,72812000,80885000,-16618000,-6779000,1689275000.0,937370000,47059000,1222368000,884796000,33796000,3682000,,553300000.0,416477000,34257000,-312902000.0,-494818000.0,28404000,63671000.0,0.0,51146000,-22192000,4843000.0,26540000.0,52351000,-21058000,46548000,46548000,511000,9063000.0,493764000,877077000,0.73,4588000,14029000.0,569878000,2910000.0,66794000,-205000,327194000,255402000.0,85252000.0,81090000,106000.0,31293000,46548000,2576215000,80885000,758000.0,80885000,150000000,,6840000,1691419000,190933000,18913000.0,87615000.0,,
2017-03-31,30729000.0,-188000.0,7111000.0,177730000,135225000,240153000.0,-72730000.0,1352368000,500381000,0.62,1394548000.0,55237000,3046000.0,61310000.0,-10390000.0,12502000.0,12502000.0,-37778000.0,77120000,78953000,-17759000,-7636000,1719744000.0,931314000,50236000,1254792000,910523000,43172000,0,,553974000.0,421054000,29456000,-393902000.0,-506313000.0,27994000,63499000.0,0.0,50430000,-65386000,6380000.0,30385000.0,77643000,-21995000,38105000,38105000,12131000,9403000.0,506275000,888235000,0.6,1315000,11737000.0,562045000,2393000.0,79988000,-1932000,365156000,263773000.0,73615000.0,80885000,106000.0,55648000,38105000,2607160000,78953000,4236000.0,78953000,134300000,,6790000,1696637000,184577000,20094000.0,-26291000.0,,
2017-06-30,26179000.0,-6174000.0,-16091000.0,186583000,155820000,238866000.0,-68617000.0,1371304000,548622000,0.87,1427388000.0,74648000,3594000.0,61288000.0,-53000.0,1817000.0,1817000.0,0.0,96036000,89002000,-29343000,-7661000,1765709000.0,933957000,68687000,1308019000,965644000,40070000,15000,,556116000.0,437347000,38725000,-439303000.0,-523994000.0,25065000,63392000.0,0.0,50669000,-23833000,1331000.0,34663000.0,53804000,-22022000,53626000,53626000,15061000,7565000.0,508315000,903394000,0.85,450000,11372000.0,574178000,1393000.0,81172000,10049000,392802000,299225000.0,103060000.0,78953000,106000.0,31782000,53626000,2679323000,89002000,8000.0,89002000,116900000,,6769000,1713679000,178337000,20580000.0,-35272000.0,,
2017-09-30,62314000.0,24357000.0,14146000.0,232788000,165814000,236896000.0,-53186000.0,1385726000,606788000,1.02,1442896000.0,90616000,6774000.0,61303000.0,37218000.0,1702000.0,1702000.0,-9969000.0,115126000,87552000,-28146000,-7669000,1820268000.0,958492000,86765000,1371383000,1021189000,59595000,46000,,556545000.0,427234000,38574000,-484405000.0,-520853000.0,37190000,63477000.0,0.0,65500000,-100402000,1641000.0,34931000.0,123739000,-27261000,62228000,62228000,24537000,33408000.0,473505000,922043000,0.98,2692000,11076000.0,580286000,1627000.0,75198000,-1450000,440974000,367715000.0,124212000.0,89002000,106000.0,96478000,62228000,2757109000,87552000,311000.0,87552000,32600000,-1242000.0,7031000,1735920000,171882000,21330000.0,-79203000.0,,
2017-12-31,-104150000.0,-11681000.0,-42199000.0,182144000,123364000,235855000.0,-48439000.0,1324628000,470148000,0.3,1467154000.0,42302000,5891000.0,61246000.0,-28796000.0,-330000.0,12423000.0,0.0,65307000,85779000,-29109000,-7656000,1830872000.0,971508000,37487000,1400546000,979242000,46276000,132000,,556759000.0,353120000,39660000,-425356000.0,-536996000.0,32207000,63709000.0,0.0,72909000,27327000,1389000.0,34786000.0,-2533000,-28450000,18260000,18260000,19227000,21901000.0,503523000,930158000,0.29,1572000,10007000.0,583339000,1627000.0,81062000,-1773000,346784000,275433000.0,72594000.0,87552000,106000.0,-30983000,18260000,2725174000,85779000,0.0,85779000,66300000,-791000.0,6750000,1745932000,165633000,21070000.0,72714000.0,,
2018-03-31,40477000.0,-5000.0,-2842000.0,195917000,146918000,239275000.0,-40721000.0,1328841000,548249000,0.63,1481552000.0,70263000,2691000.0,61401000.0,-3550000.0,0.0,2011000.0,0.0,77346000,100147000,-20009000,-8766000,1860595000.0,976861000,48647000,1456910000,1029250000,39486000,1066000,,557981000.0,351980000,30512000,-375204000.0,-538119000.0,32683000,63750000.0,,74934000,-31069000,2171000.0,37169000.0,59251000,-30028000,38489000,38489000,10158000,22254000.0,508971000,943433000,0.6,-15400000,9799000.0,588461000,1627000.0,76655000,14368000,401331000,326057000.0,78502000.0,85779000,106000.0,29223000,38489000,2785751000,100147000,8970000.0,100147000,41930000,-17000.0,6687000,1756501000,159448000,22012000.0,-30323000.0,,
2018-06-30,34086000.0,-13835000.0,34165000.0,222416000,160220000,237724000.0,-77329000.0,2338029000,588117000,0.8,1587840000.0,66150000,11407000.0,61608000.0,-13656000.0,0.0,1858000.0,0.0,91350000,114399000,-802189000,-8784000,1900928000.0,1797995000,54417000,1466035000,1137114000,54600000,15000,,826926000.0,540034000,39171000,-622379000.0,-543807000.0,22864000,63881000.0,,73022000,724936000,3542000.0,39470000.0,105365000,-31119000,49117000,49117000,5300000,170101000.0,589440000,1044033000,0.77,-4197000,9103000.0,1211396000,1627000.0,94070000,14252000,427897000,362459000.0,128695000.0,100147000,106000.0,74246000,49117000,3804064000,108109000,0.0,108109000,144000000,-16000.0,7878000,2666950000,707761000,29055000.0,-69000.0,,
2018-09-30,27303000.0,-4656000.0,25576000.0,226285000,175696000,235300000.0,-74942000.0,2252545000,719359000,1.21,1624874000.0,86447000,16745000.0,61718000.0,38342000.0,0.0,1937000.0,0.0,133476000,83594000,-45260000,-8797000,1966643000.0,1661367000,79027000,1538104000,1114797000,52395000,710000,-46000.0,813250000.0,591178000,43390000,-269416000.0,-564869000.0,20815000,64114000.0,-169000.0,85144000,-115196000,2030000.0,36854000.0,137209000,-37543000,74512000,74512000,4515000,170915000.0,549596000,1060005000,1.16,2537000,9659000.0,1092397000,1627000.0,89249000,-30805000,543663000,412567000.0,157283000.0,114399000,106000.0,99666000,74512000,3790649000,79959000,118000.0,79959000,153635000,-8499000.0,10455000,2675852000,700883000,43994000.0,-48816000.0,,
2018-12-31,,,,224890000,160637000,319230000.0,-64648000.0,2229669000,652811000,0.79,1641706000.0,69843000,19899000.0,61818000.0,,,,,73393000,71634000,-32017000,-8808000,2034877000.0,1653743000,61515000,1630867000,1126436000,51927000,249000,,809480000.0,575926000,37004000,-601350000.0,-581150000.0,19567000,64059000.0,,175606000,-63927000,3384000.0,38867000.0,84712000,-31346000,49120000,49120000,12395000,168409000.0,524500000,1060556000,0.77,3179000,28190000.0,1024872000,1160000.0,90794000,-11960000,492174000,332792000.0,119681000.0,83594000,106000.0,53366000,49120000,3860536000,71634000,27000.0,71634000,160000000,-947000.0,11878000,2734100000,673286000,,,,
2019-03-31,,,,259665000,192003000,331264000.0,-64811000.0,2273098000,758844000,1.25,1654429000.0,93315000,18361000.0,62175000.0,,,,,101648000,65303000,-12764000,-10106000,2102350000.0,1630486000,90168000,1692851000,1244092000,54857000,22000,,804461000.0,642612000,38165000,-343177000.0,-590041000.0,467187000,64564000.0,,191720000,-48796000,20766000.0,43831000.0,56242000,-22995000,77579000,77579000,12589000,162831000.0,534320000,1064388000,1.2,8039000,30531000.0,1000468000,,98688000,-6331000,566841000,592336000.0,204586000.0,71634000,106000.0,33247000,77579000,3965949000,65303000,10232000.0,65303000,160000000,-23000.0,11480000,2721857000,646094000,,,,
2019-06-30,,,,243071000,189489000,332927000.0,-64180000.0,2311292000,752005000,1.07,1670309000.0,95848000,12816000.0,61941000.0,,,,-71262000.0,103112000,63302000,-35045000,-10071000,2168204000.0,1668620000,92314000,1704311000,1298109000,52980000,538000,,807868000.0,642672000,44797000,-392920000.0,-607225000.0,484184000,64633000.0,,189725000,-46285000,9565000.0,40661000.0,78248000,-23564000,66107000,66107000,26207000,173289000.0,531163000,1063084000,1.02,6916000,26307000.0,1011147000,,93641000,-2001000,562516000,650777000.0,206785000.0,65303000,106000.0,54684000,66107000,4015603000,63302000,0.0,63302000,180000000,-12019000.0,10798000,2717494000,641481000,,,,
2019-09-30,,,,240460000,165414000,337165000.0,-103306000.0,2229785000,736537000,1.08,1672227000.0,78225000,18849000.0,61872000.0,,,,0.0,86460000,99073000,-22701000,-10081000,2224919000.0,1522349000,76615000,1726741000,1271228000,51441000,201000,0.0,797853000.0,707436000,55691000,-496123000.0,-613452000.0,506088000,64553000.0,0.0,198517000,-106591000,2329000.0,35748000.0,171406000,-21161000,66796000,66796000,9819000,151362000.0,516836000,1058775000,1.03,7835000,27891000.0,864899000,,87189000,35771000,571123000,591529000.0,228127000.0,63302000,106000.0,150245000,66796000,3956526000,99073000,11993000.0,99073000,220000000,-13734000.0,9845000,2685298000,611992000,,,,
2019-12-31,,,,218486000,185438000,,,2208566000,720355000,0.86,,86547000,20704000.0,61991000.0,,,,,70557000,148008000,1575000,-10064000,,1416521000,61548000,1798603000,1329197000,62045000,18809000,,795781000.0,792045000,79737000,-441939000.0,,532782000,64673000.0,,217163000,17188000,7558000.0,36846000.0,27445000,-17232000,53373000,53373000,8175000,154563000.0,520266000,1033578000,0.83,-16477000,,729176000,,98891000,48935000,534917000,572443000.0,168089000.0,99073000,,10213000,53373000,4007169000,148008000,0.0,148008000,384766000,-2000.0,9009000,2677972000,613135000,,,,
