date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetPPE,quarterlyLongTermDebt,quarterlyTaxProvision,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2017-06-30,5847377000,239150000,16150000.0,-47446000,26108000.0,489669000,205730000,,1175569000,-31756000.0,4105000.0,10375000.0,399741000,-115120000,,365311000,5121978000,0.47,176562000.0,1487171000,725399000,264109594.0,5800247000,-3671000.0,1049196000,126350000,4589573000.0,-37000,-415388000.0,8731000.0,,335397000,-4846000,-18326000,203472000,5366000.0,264429000,123887000.0,123656000.0,-111412000,1992000,33462000,822209000.0,140070000.0,4729335000,3963909000,52675000,270621000.0,685900000,283939000,131550000,547671000.0,0.0,153017000,268469000,123656000.0,11655363000,399741000,,399741000,10606167000,42096000.0,1083787000,31160000,0.47,157589000,263387338.0,,,,,,,,,,
2017-09-30,5916419000,276970000,-593000.0,34450000,114779000.0,511356000,219602000,,1206478000,-31738000.0,11276000.0,9043000.0,495254000,-155583000,,383826000,5096630000,0.47,187800000.0,1578635000,819789000,264299472.0,5988499000,-46066000.0,1192943000,128200000,4688348000.0,5251000,-80962000.0,109155000.0,,341782000,-528000,-85929000,136095000,969000.0,336469000,123410000.0,123227000.0,-114768000,-987000,16074000,829087000.0,142787000.0,4783928000,3925761000,64390000,347439000.0,695122000,291754000,95235000,588534000.0,0.0,221701000,399741000,123227000.0,11910275000,495254000,,495254000,10717332000,36519000.0,1108961000,32471000,0.47,163555000,263443064.0,,,,,,,,,,
2017-12-31,5740611000,330523000,-142312000.0,-46889000,108413000.0,476802000,190174000,7194006000.0,1157175000,-36774000.0,-5678000.0,6954000.0,433815000,-282670000,,339123000,4938012000,1.19,145999000.0,1856946000,802599000,264610894.0,6268670000,-16693000.0,1176868000,126038000,4681774000.0,-104075000,-103382000.0,1596000.0,-2373072000.0,347673000,-11587000,-78399000,247669000,2110000.0,298885000,315128000.0,315086000.0,-161902000,-13683000,17958000,690767000.0,145197000.0,4820934000,3899572000,-169129000,278039000.0,680373000,286628000,-61316000,554458000.0,0.0,136983000,495254000,315086000.0,12014681000,433815000,,433815000,10837813000,30882000.0,1087436000,32534000,1.19,160590000,263825060.0,,,,,,,,,,
2018-03-31,5682480000,287894000,20957000.0,-15601000,56893000.0,480328000,189737000,,1140131000,-36814000.0,5312000.0,9180000.0,294545000,-402282000,-42040000.0,348537000,4940343000,0.47,156884000.0,1961297000,742137000,264588069.0,6275278000,-311964000.0,969649000,131308000,4772949000.0,898000,-106812000.0,,,350404000,-18617000,-167006000,218797000,1947000.0,307247000,125032000.0,124869000.0,-91216000,-1638000,16533000,711241000.0,156528000.0,4924263000,3878698000,31852000,260542000.0,659803000,290591000,-262023000,555285000.0,0.0,216031000,556467000,124869000.0,11963218000,217537000,,217537000,10993569000,20640000.0,1077560000,32370000,0.47,159283000,263827963.0,,,,,,,,,,
2018-06-30,5677903000,343870000,5442000.0,21842000,15106000.0,514946000,217761000,,1239968000,-36770000.0,4384000.0,11082000.0,225846000,-282952000,0.0,382729000,4880233000,0.52,181379000.0,2060156000,797670000,264332029.0,6341049000,-173555000.0,918375000,128261000,4772966000.0,1099000,-231325000.0,,,368759000,-3808000,-142430000,222560000,199000.0,357684000,138814000.0,138682000.0,-110496000,-5012000,13732000,718627000.0,162463000.0,5024868000,3792847000,42565000,257874000.0,725022000,297185000,-68631000,604090000.0,0.0,247188000,294545000,138682000.0,12024544000,145801000,,145801000,11106169000,19731000.0,1085775000,32426000,0.53,168924000,263691172.0,,,,,,,,,,
2018-09-30,5686987000,331535000,19366000.0,10839000,53203000.0,544988000,230871000,,1281110000,-36863000.0,4721000.0,15172000.0,327788000,-185212000,0.0,410039000,4871738000,0.57,202858000.0,2174135000,815249000,264394757.0,6499564000,-14545000.0,1023058000,139014000,4813296000.0,1133000,-49563000.0,,,383229000,-952000,-86253000,216881000,235000.0,372861000,150766000.0,150843000.0,-171800000,2598000,12540000,741300000.0,162965000.0,5069767000,3747209000,52092000,287369000.0,736122000,314117000,101783000,625048000.0,0.0,201061000,225846000,150843000.0,12192066000,244389000,,244389000,11169008000,20840000.0,1069064000,32078000,0.57,175103000,263628838.0,,,,,,,,,,
2018-12-31,6167141000,359967000,32094000.0,14359000,-74786000.0,516975000,213992000,8052089000.0,1261732000,-42103000.0,5883000.0,8369000.0,403966000,-501374000,-16888000.0,378427000,5306432000,0.5,166020000.0,2264510000,860709000,264453655.0,6454608000,-330027000.0,1092903000,125806000,5031685000.0,1286000,-583073000.0,,-2883093000.0,392934000,-6515000,208111000,205117000,286000.0,373443000,132543000.0,132478000.0,-172633000,-16235000,11612000,760033000.0,179282000.0,5168996000,4153465000,33477000,289544000.0,744757000,302983000,79418000,609545000.0,0.0,200810000,327788000,132478000.0,12627329000,319305000,,319305000,11534426000,20304000.0,1128628000,35230000,0.5,177177000,263628941.0,,,,,,,,,,
2019-03-31,6363254000,339261000,10126000.0,5485000,-45978000.0,510947000,200972000,5319488000.0,1244637000,-42084000.0,6441000.0,15168000.0,584682000,-128046000,0.0,375435000,5519127000,0.48,153545000.0,2345970000,844127000,264336930.0,6563139000,-14920000.0,1242857000,132586000,5065530000.0,1112000,-52051000.0,,,419077000,-17248000,-55203000,198500000,3610000.0,363772000,125577000.0,125622000.0,-114238000,-13451000,11650000,766641000.0,181950000.0,5319488000,4157081000,27968000,264706000.0,733690000,309975000,180716000,599369000.0,0.0,249534000,403966000,125622000.0,12931928000,499482000,,499482000,11689071000,16750000.0,1105553000,37287000,0.48,184603000,263603418.0,,,,,,,,,,
2019-06-30,6437967000,408229000,8785000.0,19348000,-23487000.0,553820000,226036000,5512557000.0,1369639000,-42131000.0,4068000.0,11595000.0,293736000,-512244000,0.0,419961000,5495049000,0.56,188627000.0,2452687000,942918000,264494943.0,6702396000,-366502000.0,990594000,139664000,5316670000.0,-6190000,-1082538000.0,,,457735000,-6521000,-168055000,201844000,85000.0,389276000,148839000.0,148848000.0,-139552000,-1982000,11773000,783609000.0,199401000.0,5512557000,4082876000,39788000,274478000.0,815819000,327784000,-290946000,663931000.0,0.0,249724000,584682000,148848000.0,13145772000,209209000,,209209000,12155178000,18782000.0,1124107000,37245000,0.56,194089000,263846970.0,,,,,,,,,,
2019-09-30,6473895000,428492000,22570000.0,29025000,-61228000.0,577346000,249535000,5564863000.0,1412444000,-42133000.0,5632000.0,8747000.0,395828000,-245382000,0.0,433043000,5482101000,0.6,201857000.0,2569663000,991794000,264587456.0,6790966000,-38970000.0,1105290000,137883000,5297556000.0,5007000,-49576000.0,,,476126000,-1499000,-84781000,205490000,341000.0,432382000,159074000.0,159109000.0,-211419000,-12954000,12393000,800223000.0,200677000.0,5564863000,4039405000,42783000,299139000.0,835098000,327811000,102092000,676676000.0,0.0,220963000,293736000,159109000.0,13270235000,303778000,,303778000,12164945000,20931000.0,1097036000,36780000,0.6,194406000,263853681.0,,,,,,,,,,
