date,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt
2017-04-30,65000000.0,16000000.0,-54000000,-813000000,222000000.0,,47000000,159000000.0,-191000000,821000000,-18000000.0,,282000000,223000000,641000000.0,29000000,-5000000.0,536000000,539000000,235000000,411000000,4217000000.0,-150000000.0,90000000.0,9410000000,1294000000,0.86,228000000,1989000000,6206000000,849000000.0,47000000,348000000,-14000000.0,1000000.0,1766000000,76000000.0,552000000,-41000000.0,554000000,1937000000,507000000,1150000000,3278000000,754000000,-133000000.0,1989000000,592000000.0,7000000.0,0.0,,990000000,8116000000,-82000000.0,,22000000.0,5000000.0,-391000000,6506000000,976000000.0,6132000000,787000000,420000000.0,618000000.0,0.0,596000000,1984000000.0,-27000000,46000000.0,300000000.0,507000000,0.79,185000000,507000000,6206000000.0,2288000000,-605000000.0
2017-07-31,11000000.0,15000000.0,-54000000,-968000000,86000000.0,,60000000,252000000.0,-1000000,855000000,-4000000.0,,705000000,-1000000,633000000.0,101000000,-11000000.0,684000000,578000000,232000000,416000000,3889000000.0,-237000000.0,76000000.0,9402000000,1332000000,0.98,651000000,1988000000,5877000000,327000000.0,49000000,431000000,-12000000.0,1000000.0,1989000000,82000000.0,699000000,-11000000.0,688000000,2230000000,583000000,1302000000,3429000000,262000000,70000000.0,1988000000,597000000.0,3000000.0,-758000000.0,,1034000000,8070000000,-84000000.0,,93000000.0,6000000.0,-110000000,7006000000,1213000000.0,5973000000,928000000,517000000.0,618000000.0,0.0,614000000,1984000000.0,-34000000,74000000.0,408000000.0,583000000,0.92,198000000,583000000,5877000000.0,2395000000,-136000000.0
2017-10-31,56000000.0,15000000.0,-69000000,-629000000,24000000.0,,70000000,295000000.0,-388000000,857000000,-1000000.0,,1157000000,814000000,628000000.0,58000000,-10000000.0,896000000,600000000,193000000,462000000,3518000000.0,45000000.0,63000000.0,9830000000,1351000000,1.39,1088000000,2802000000,6320000000,365000000.0,49000000,511000000,-14000000.0,1000000.0,1988000000,107000000.0,911000000,-10000000.0,895000000,2636000000,838000000,1569000000,3478000000,286000000,90000000.0,2802000000,603000000.0,4000000.0,-151000000.0,,1028000000,8479000000,-84000000.0,,43000000.0,10000000.0,115000000,7760000000,1167000000.0,6352000000,1067000000,493000000.0,618000000.0,0.0,674000000,1985000000.0,0,65000000.0,464000000.0,838000000,1.33,212000000,838000000,6320000000.0,2450000000,-62000000.0
2018-01-31,7000000.0,15000000.0,-416000000,-134000000,15000000.0,-740000000.0,319000000,18000000.0,-41000000,796000000,0.0,,1358000000,1200000000,628000000.0,-40000000,-10000000.0,1078000000,997000000,201000000,508000000,3106000000.0,-98000000.0,52000000.0,11241000000,1986000000,1.84,942000000,4002000000,7108000000,400000000.0,54000000,596000000,-18000000.0,1000000.0,2802000000,126000000.0,1093000000,-10000000.0,1073000000,2911000000,1118000000,1801000000,3770000000,-24000000,63000000.0,4002000000,606000000.0,7000000.0,0.0,1737000000.0,1153000000,9255000000,-91000000.0,,-517000000.0,15000000.0,571000000,8787000000,1265000000.0,7471000000,1110000000,542000000.0,618000000.0,0.0,728000000,1985000000.0,61000000,53000000.0,632000000.0,1118000000,1.78,220000000,1118000000,7108000000.0,2617000000,-9000000.0
2018-04-30,66000000.0,15000000.0,-118000000,-1131000000,14000000.0,,273000000,19000000.0,-449000000,797000000,6000000.0,,1445000000,-3237000000,627000000.0,67000000,0.0,1311000000,1066000000,44000000,542000000,6535000000.0,56000000.0,55000000.0,11460000000,2012000000,2.05,1327000000,765000000,7300000000,272000000.0,57000000,623000000,-23000000.0,1000000.0,4002000000,129000000.0,1326000000,-3705000000.0,1295000000,3207000000,1244000000,2068000000,3743000000,-3551000000,22000000.0,765000000,606000000.0,-8000000.0,-655000000.0,,1106000000,9448000000,-91000000.0,,51000000.0,18000000.0,-28000000,9948000000,1220000000.0,7717000000,1139000000,469000000.0,618000000.0,,773000000,1986000000.0,-2000000,56000000.0,651000000.0,1244000000,1.98,231000000,1244000000,,2637000000,-2000000.0
2018-07-31,,14000000.0,-129000000,-155000000,14000000.0,,220000000,21000000.0,-67000000,1090000000,5000000.0,,913000000,-47000000,626000000.0,79000000,-7000000.0,1180000000,1162000000,44000000,581000000,7225000000.0,-442000000.0,51000000.0,12882000000,2051000000,1.81,784000000,718000000,7943000000,2762000000.0,59000000,800000000,-23000000.0,1000000.0,765000000,133000000.0,1253000000,-3438000000.0,1157000000,3123000000,1101000000,1975000000,4087000000,-805000000,150000000.0,718000000,607000000.0,-14000000.0,0.0,,1462000000,10831000000,-91000000.0,,62000000.0,27000000.0,-428000000,10957000000,1662000000.0,8795000000,1148000000,488000000.0,618000000.0,,818000000,1987000000.0,-293000000,77000000.0,14000000.0,1101000000,1.76,237000000,1101000000,,2625000000,0.0
2018-10-31,,15000000.0,-150000000,-703000000,3000000.0,,312000000,23000000.0,-468000000,1417000000,1000000.0,,487000000,3000000,625000000.0,-149000000,-2000000.0,1081000000,1292000000,54000000,605000000,6870000000.0,-557000000.0,49000000.0,13657000000,2271000000,2.02,337000000,721000000,7591000000,3347000000.0,68000000,902000000,-24000000.0,1000000.0,718000000,138000000.0,1164000000,-2978000000.0,1058000000,3181000000,1230000000,1921000000,4182000000,219000000,52000000.0,721000000,609000000.0,-13000000.0,-200000000.0,,1608000000,11386000000,-91000000.0,,-83000000.0,40000000.0,-853000000,12096000000,2219000000.0,9475000000,1260000000,529000000.0,618000000.0,,863000000,1987000000.0,-325000000,80000000.0,19000000.0,1230000000,1.97,258000000,1230000000,,2574000000,-10000000.0
2019-01-31,,14000000.0,-203000000,-877000000,,-767000000.0,668000000,19000000.0,-53000000,1575000000,2000000.0,,898000000,61000000,619000000.0,-243000000,0.0,324000000,1404000000,61000000,647000000,6640000000.0,794000000.0,45000000.0,13292000000,2735000000,0.93,695000000,782000000,7422000000,1279000000.0,78000000,511000000,-12000000.0,1000000.0,721000000,157000000.0,338000000,-1036000000.0,294000000,2205000000,567000000,1207000000,3950000000,40000000,-359000000.0,782000000,609000000.0,-10000000.0,-724000000.0,2171000000.0,1329000000,10557000000,-98000000.0,,-345000000.0,46000000.0,452000000,12565000000,1424000000.0,9342000000,998000000,818000000.0,618000000.0,,913000000,1988000000.0,-156000000,92000000.0,633000000.0,567000000,0.92,266000000,567000000,,2621000000,-4000000.0
2019-04-30,,13000000.0,-128000000,-225000000,,,110000000,21000000.0,-211000000,1426000000,,,720000000,1990000000,616000000.0,-5000000,,389000000,2009000000,55000000,674000000,5030000000.0,182000000.0,54000000.0,14021000000,3392000000,0.65,592000000,2772000000,7802000000,2245000000.0,91000000,368000000,-2000000.0,1000000.0,782000000,178000000.0,493000000,-622000000.0,358000000,2220000000,394000000,1296000000,4317000000,1495000000,-123000000.0,2772000000,607000000.0,-2000000.0,0.0,2009000000.0,1183000000,10629000000,-97000000.0,,-42000000.0,49000000.0,101000000,12862000000,1242000000.0,9704000000,924000000,465000000.0,618000000.0,,938000000,1988000000.0,153000000,85000000.0,11000000.0,394000000,0.64,264000000,394000000,,3134000000,0.0
2019-07-31,,13000000.0,-113000000,-148000000,,,110000000,23000000.0,-50000000,1204000000,1000000.0,,936000000,4333000000,616000000.0,54000000,,606000000,2019000000,96000000,704000000,1370000000.0,-319000000.0,49000000.0,14775000000,3384000000,0.91,823000000,7105000000,8475000000,4499000000.0,92000000,437000000,-1000000.0,1000000.0,2772000000,223000000.0,711000000,-841000000.0,571000000,2579000000,552000000,1541000000,4439000000,3545000000,78000000.0,7105000000,609000000.0,3000000.0,0.0,2019000000.0,1317000000,11391000000,-98000000.0,,15000000.0,54000000.0,50000000,13317000000,1561000000.0,10336000000,1038000000,515000000.0,618000000.0,,970000000,1989000000.0,225000000,127000000.0,24000000.0,552000000,0.9,266000000,552000000,,3122000000,0.0
2019-10-31,,13000000.0,-103000000,-236000000,,,116000000,25000000.0,-202000000,1047000000,,,1640000000,2660000000,618000000.0,60000000,,959000000,2044000000,80000000,712000000,4000000.0,105000000.0,43000000.0,15810000000,3390000000,1.47,1537000000,9765000000,9769000000,1363000000.0,92000000,591000000,-3000000.0,1000000.0,7105000000,223000000.0,1064000000,-4000000.0,927000000,3014000000,899000000,1916000000,4596000000,1256000000,136000000.0,9765000000,610000000.0,4000000.0,0.0,2044000000.0,1475000000,12420000000,-97000000.0,,22000000.0,57000000.0,401000000,14118000000,1455000000.0,11214000000,1098000000,526000000.0,618000000.0,,989000000,1990000000.0,153000000,119000000.0,25000000.0,899000000,1.45,277000000,899000000,,3121000000,0.0
