date,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2017-06-30,3.94,164893000,448000.0,461919000,126847000,-1345000,-697000.0,65587000,-205281000.0,,146334000,146334000,21608000,8171000,164134000.0,252000.0,-2264000.0,16049000,143607000,-128515000,-298386000.0,32854000,26439529.0,,653656000,-27514000,137778000,138297000,,25267000,600900000,-18559000,0.0,4211000.0,3971000.0,153220000,-124952000.0,18202000,1197222000,3256684000,110264000,483757000.0,193517000,588809000,913753000,2247950000,101580000,249441000,1334197000,3.84,3438000.0,85406000,374917000,-7205000.0,1786031000,101580000,101580000,-5369000,25751374.0,37106000,253734000,-3279000,947781000,126190000.0,236620000,146334000,-29350000,423594000.0,448098000.0,278739000,,,,,,,
2017-09-30,4.1,146334000,448000.0,512979000,139627000,4749000,-107748000.0,70784000,-218899000.0,,169086000,169086000,18533000,8248000,229975000.0,-21650000.0,-3914000.0,21577000,148521000,15205000,-277637000.0,32477000,26303529.0,,698799000,-37297000,145858000,152169000,,34677000,641709000,22752000,0.0,4027000.0,4030000.0,167093000,-85049000.0,19218000,1331862000,3360315000,108561000,538418000.0,204915000,652358000,986564000,2497199000,104950000,281181000,1510635000,3.99,1319000.0,100533000,400277000,0.0,1984220000,104950000,104950000,-2432000,25613433.0,31090000,263527000,-4294000,1050681000,123730000.0,248108000,169086000,-140068000,485304000.0,483167000.0,298522000,,,,,,,
2017-12-31,3.01,169086000,448000.0,547280000,193900000,2838000,0.0,74031000,-351111000.0,-509107000.0,148687000,148687000,19677000,8625000,226718000.0,-40876000.0,5009000.0,-14350000,167627000,-152275000,-265406000.0,32542000,26229052.0,,778031000,-41600000,165090000,206156000,1177378000.0,116924000,668271000,-20399000,0.0,71998000.0,4759000.0,223223000,-64999000.0,20698000,1312852000,3433282000,123490000,539838000.0,204860000,689673000,1006723000,2549805000,76976000,352682000,1543082000,2.93,17742000.0,108255000,455219000,0.0,2002525000,76976000,76976000,9916000,25562542.0,51230000,255390000,-3631000,960170000,107166000.0,249063000,148687000,-37226000,502369000.0,528615000.0,322812000,,,,,,,
2018-03-31,3.66,148687000,448000.0,560747000,117439000,3304000,-500000.0,66186000,-331114000.0,,98949000,98949000,14883000,8359000,224727000.0,54302000.0,-6416000.0,-34301000,164639000,-107683000,-236516000.0,34713000,26095647.0,,660821000,-29774000,76564000,127811000,,24135000,696890000,-49738000,,3085000.0,4354000.0,146690000,-118750000.0,20892000,1314278000,3526355000,46790000,544784000.0,200674000,636882000,927372000,2511907000,93304000,335563000,1584535000,3.58,-3451000.0,118134000,374933000,,1951160000,93304000,93304000,-15707000,25468323.0,46689000,278318000,-2013000,978715000,130704000.0,247122000,98949000,-22463000,457360000.0,483919000.0,285888000,,,,,,,
2018-06-30,4.41,98948000,448000.0,532434000,143602000,3738000,0.0,63867000,-171410000.0,,183190000,183190000,52052000,8309000,219858000.0,-19793000.0,-3693000.0,7050000,170865000,-20835000,-265721000.0,35315000,25867383.0,,721996000,-31812000,140195000,157316000,,32134000,678706000,84242000,,3951000.0,3882000.0,173330000,-118749000.0,21419000,1336965000,3637629000,108383000,536407000.0,208024000,688817000,1003307000,2558216000,111468000,316545000,1554909000,4.31,8876000.0,119938000,412625000,-1635000.0,2025782000,111468000,111468000,-4252000,25299414.0,46138000,270047000,-5405000,1020420000,126835000.0,255309000,183190000,-28051000,465900000.0,486203000.0,309371000,,,,,,,
2018-09-30,5.04,183190000,448000.0,531615000,160363000,-7822000,-4462000.0,61898000,-201180000.0,,137448000,137448000,55753000,9003000,220904000.0,-8492000.0,-1792000.0,911000,156447000,-146048000,-283529000.0,34838000,25683365.0,,734846000,-35079000,149674000,170109000,,33710000,697689000,-45742000,,2763000.0,4269000.0,190505000,-118750000.0,21139000,1328580000,3763858000,114595000,537862000.0,202451000,697469000,971499000,2557664000,126653000,339686000,1586165000,4.93,-13178000.0,129710000,419254000,-29000.0,2026049000,126653000,126653000,-6265000,25126061.0,50216000,277266000,-743000,988894000,123526000.0,249145000,137448000,-44084000,485269000.0,494887000.0,315592000,,,,,,,
2018-12-31,7.25,137448000,448000.0,590063000,230454000,1899000,-565000.0,63401000,-172620000.0,-515662000.0,178110000,178110000,49670000,8840000,217308000.0,-45557000.0,17800000.0,-8202000,196641000,-113456000,-302414000.0,36205000,25490270.0,,817923000,-46061000,198572000,227745000,1233188000.0,49268000,717526000,40662000,,-18527000.0,5074000.0,260535000,-118750000.0,21241000,1294350000,3941916000,152511000,534780000.0,201653000,734434000,1045860000,2618847000,181186000,309329000,1572987000,7.11,41424000.0,103373000,477566000,-250000.0,2028784000,181186000,181186000,5029000,24975303.0,48818000,268821000,11549000,985021000,105381000.0,249821000,178110000,-44346000,488123000.0,535528000.0,340357000,,,,,,,
2019-03-31,4.5,178110000,448000.0,561750000,125676000,4802000,0.0,71536000,-271646000.0,,126480000,126480000,53798000,9094000,213977000.0,45410000.0,-14939000.0,-24564000,174639000,-136199000,-289754000.0,36053000,25310525.0,,679452000,-22404000,98795000,135619000,,13871000,722926000,-51630000,,4504000.0,4482000.0,156759000,-186250000.0,21989000,1366983000,4053703000,76391000,535517000.0,204425000,707964000,969384000,2636697000,111805000,358498000,1667313000,4.42,-24326000.0,194893000,388319000,-10000000.0,2074947000,111805000,111805000,-13092000,24851340.0,39648000,282087000,-849000,1008485000,128962000.0,252700000,126480000,-17530000,479527000.0,489281000.0,291133000,,,,,,,
2019-06-30,5.15,126480000,448000.0,504086000,155216000,-6028000,-504000.0,71937000,-261083000.0,,124439000,124439000,51918000,8882000,211211000.0,-8736000.0,58000.0,-26383000,160584000,-100689000,-301433000.0,36582000,25118352.0,,731366000,-22295000,127070000,165415000,816107000.0,28056000,816107000,-2041000,468349000.0,4286000.0,4338000.0,186047000,-186249000.0,21949000,1449521000,4180323000,104775000,534557000.0,205215000,707251000,981446000,2660858000,127160000,299347000,1679412000,5.06,-11890000.0,117537000,419538000,1753000.0,2156772000,127160000,127160000,-3756000,24698032.0,40282000,286347000,-1317000,1087874000,128704000.0,254123000,124439000,-27683000,162777000.0,498723000.0,311828000,,,,,,,
2019-09-30,5.28,124439000,448000.0,438301000,169359000,-2873000,-1500000.0,59049000,-128066000.0,,120534000,120534000,48577000,9800000,209371000.0,-13578000.0,-3082000.0,22811000,148220000,-145276000,-314986000.0,36015000,24880179.0,,753866000,-26928000,175876000,183886000,810792000.0,39964000,810792000,-3905000,495558000.0,4465000.0,4463000.0,201446000,-186250000.0,22287000,1478313000,4309718000,148948000,531224000.0,202826000,719255000,963808000,2635869000,129395000,292034000,1672061000,5.2,-9443000.0,120674000,435056000,0.0,2197568000,129395000,129395000,-646000,24487268.0,39954000,280978000,-4727000,1124279000,126925000.0,251170000,120534000,-31269000,158009000.0,503247000.0,318810000,,,,,,,
