date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockBasedCompensation
2017-06-30,86500000,-28100000,20100000,9700000,-3700000,236500000,8200000,-1397600000,0.64,131900000.0,33100000,,68300000.0,21200000.0,85400000,104600000,96400000,,19600000,63100000,749700000,12900000,26800000,,-15500000.0,2274400000,68400000.0,2989900000,76500000,161800000,,261900000.0,27100000,56500000.0,199900000,76400000,161800000,700000.0,429500000,,110300000,72900000,161800000,-28700000,43900000,-2700000.0,169300000,2584300000,27500000.0,0.64,2147300000,8500000.0,715500000,-14400000.0,470000000,6200000,19600000.0,9400000.0,677300000.0,-20000000.0,,402400000,265000000.0,397500000.0,-1200000,73100000.0,260200000,500000.0,1516500000.0,70300000,43500000,43900000,-19800000.0,2114300000,41400000,101100000,
2017-09-30,46500000,-26500000,20100000,-4300000,200000,239500000,-86400000,-1438200000,0.7,118000000.0,34700000,,67900000.0,16400000.0,13900000,127000000,90200000,-3500000.0,11600000,58700000,762800000,13300000,207900000,,16400000.0,2269100000,68000000.0,2984500000,100500000,175700000,,259200000.0,28400000,42200000.0,195200000,161800000,175700000,700000.0,429500000,,78800000,83100000,175700000,-30400000,47400000,-4400000.0,173300000,2588900000,18300000.0,0.7,2201000000,14900000.0,715400000,-14300000.0,449600000,12100000,11600000.0,9500000.0,710300000.0,-35000000.0,,391500000,253100000.0,401700000.0,200000,87100000.0,256200000,-600000.0,1521900000.0,70500000,47100000,47400000,-47400000.0,2139300000,36300000,165300000,
2017-12-31,20100000,-39600000,19800000,700000,4400000,230900000,-35200000,-1463400000,-1.81,125900000.0,39100000,8200000.0,67800000.0,19500000.0,-22900000,51700000,120200000,0.0,151300000,28200000,799100000,14100000,203800000,,-15600000.0,2178400000,67800000.0,2903700000,12100000,152800000,,255400000.0,28900000,39900000.0,210300000,175700000,152800000,700000.0,459500000,,76900000,47300000,152800000,-39900000,-123000000,-5500000.0,167500000,2640400000,15100000.0,-1.81,2262500000,12200000.0,725300000,-14300000.0,434200000,-21200000,151300000.0,14900000.0,573100000.0,0.0,,256400000,285200000.0,402400000.0,-300000,86900000.0,292000000,8900000.0,1523800000.0,101300000,-123100000,-123000000,-35000000.0,2206200000,45700000,180000000,
2018-03-31,14800000,-50100000,19300000,2100000,-1600000,256200000,-55100000,-1497900000,0.64,132200000.0,48500000,8300000.0,67600000.0,29600000.0,-12200000,89000000,84100000,,24800000,68200000,829400000,14700000,233500000,,20100000.0,2217500000,67700000.0,2945100000,38900000,149900000,,251600000.0,25000000,23300000.0,217300000,163500000,149900000,700000.0,431500000,,112500000,85400000,151300000,-48500000,43600000,10500000.0,169500000,2699200000,10800000.0,0.64,2327300000,17900000.0,727600000,-16200000.0,465600000,800000,24800000.0,17100000.0,603700000.0,-35000000.0,,239200000,269100000.0,405200000.0,1600000,109300000.0,262000000,-23000000.0,1531700000.0,69300000,43400000,43600000,-11700000.0,2233600000,51000000,185900000,
2018-06-30,23300000,-40700000,19900000,-16400000,-13700000,307400000,405400000,-1482400000,0.58,138700000.0,78100000,8000000.0,67300000.0,26000000.0,-18500000,30000000,98800000,,25000000,63600000,955900000,16100000,217300000,,-5300000.0,2613800000,67400000.0,3402200000,-10700000,131500000,,364500000.0,25900000,55800000.0,262500000,151300000,131500000,700000.0,485700000,,109400000,99900000,132800000,-450500000,38800000,23500000.0,198700000,3107300000,-37800000.0,0.58,2438300000,20300000.0,788400000,-16200000.0,503100000,19700000,25000000.0,22300000.0,625500000.0,-14800000.0,,288400000,277500000.0,541200000.0,11100000,88300000.0,287000000,-27800000.0,1963300000.0,82200000,38600000,38800000,-530100000.0,2604200000,70700000,188700000,
2018-09-30,22800000,-70900000,20400000,-1200000,0,319000000,-27100000,-1496400000,0.24,144400000.0,91500000,12400000.0,67100000.0,43900000.0,20500000,115000000,164000000,2900000.0,700000,16600000,984100000,15700000,265700000,,-1700000.0,2667400000,67200000.0,3513300000,44100000,150700000,,359400000.0,25200000,46500000.0,245100000,132800000,150700000,700000.0,494900000,,62200000,38200000,153300000,-66900000,16100000,-16400000.0,202200000,3233100000,85900000.0,0.24,2480500000,24200000.0,845900000,-16100000.0,533600000,8500000,700000.0,18700000.0,625400000.0,-10300000.0,,273900000,279200000.0,544400000.0,1100000,103200000.0,292700000,-10400000.0,1963700000.0,75600000,15900000,16100000,-16700000.0,2699500000,94400000,280300000,
2018-12-31,22300000,-54600000,20600000,17400000,33500000,281100000,-6700000,-1482800000,1.03,156100000.0,113900000,10900000.0,66900000.0,40600000.0,47700000,108000000,96600000,0.0,27600000,96500000,1011700000,16200000,243500000,,-10600000.0,2708000000,67000000.0,3565300000,53400000,200500000,,356500000.0,24700000,67900000.0,248600000,153300000,200500000,700000.0,520000000,,141800000,99700000,201000000,-52600000,69100000,6600000.0,196300000,3228300000,16500000.0,1.03,2494500000,11300000.0,857300000,-16100000.0,514400000,31300000,27600000.0,29200000.0,676700000.0,-19900000.0,,330900000,288500000.0,540400000.0,2000000,95000000.0,323700000,35100000.0,1961000000.0,79900000,68900000,69100000,-29300000.0,2713900000,86700000,319800000,
2019-03-31,22500000,-38200000,20000000,-42900000,-4300000,316200000,-21800000,-1495100000,0.37,159500000.0,45600000,10800000.0,66800000.0,41400000.0,2800000,71000000,90200000,,10900000,35500000,1043700000,17000000,356000000,,26600000.0,2665800000,66900000.0,3646400000,32800000,203400000,,351100000.0,24900000,76500000.0,257500000,201000000,203400000,700000.0,469500000,,80400000,98400000,203800000,-46100000,24700000,3500000.0,188600000,3292600000,59700000.0,0.37,2538800000,18000000.0,980600000,-18400000.0,636000000,-33200000,10900000.0,24400000.0,683300000.0,-4800000.0,,347800000,257800000.0,540300000.0,-7900000,98900000.0,280900000,-35500000.0,1961600000.0,73200000,24600000,24700000,-5700000.0,2656600000,202800000,264500000,
2019-06-30,23000000,-63300000,19600000,-2000000,-600000,318200000,-36900000,-1487800000,1.14,165700000.0,44500000,7100000.0,66800000.0,34400000.0,-43900000,73900000,92600000,,18800000,95200000,1076700000,16300000,386200000,,-50800000.0,2718800000,67000000.0,3726500000,10600000,159500000,,353900000.0,24900000,63500000.0,270300000,203800000,159500000,700000.0,513600000,,139700000,116800000,159900000,-81200000,76200000,9600000.0,209400000,3339200000,12500000.0,1.14,2564500000,18100000.0,1007700000,-18200000.0,679500000,-22800000,18800000.0,24300000.0,741300000.0,-25000000.0,,381100000,310000000.0,557900000.0,4900000,97500000.0,304200000,-1900000.0,1960000000.0,76300000,76400000,76200000,-6600000.0,2659700000,219600000,265800000,
2019-09-30,22900000,-41100000,18600000,-2200000,0,336500000,-18700000,-1488000000,0.81,168500000.0,51800000,6800000.0,66700000.0,36100000.0,59000000,123500000,89100000,0.0,27300000,81100000,1098800000,14900000,415400000,,35800000.0,2728200000,66800000.0,3779700000,82400000,218500000,,348400000.0,25500000,85300000.0,266400000,159900000,218500000,700000.0,470500000,,125200000,101900000,218900000,-42500000,53700000,500000.0,191000000,3328000000,12000000.0,0.8,2586800000,13900000.0,1051500000,-18000000.0,704700000,29900000,27300000.0,28800000.0,776900000.0,0.0,,445400000,265600000.0,555700000.0,-1400000,108400000.0,279500000,-20600000.0,1959300000.0,74200000,53800000,53700000,-5200000.0,2623300000,230500000,239700000,
