,trailingCapitalExpenditure,quarterlySaleOfInvestment,trailingOperatingExpense,annualCurrentAssets,quarterlyGrossPPE,annualOtherNonCurrentAssets,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,trailingInterestExpense,quarterlyNetOtherInvestingChanges,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualEbitda,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyGrossProfit,annualNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyInvestingCashFlow,annualInterestExpense,quarterlyBasicAverageShares,annualResearchAndDevelopment,annualOtherCurrentAssets,annualCostOfRevenue,trailingFreeCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,quarterlySellingGeneralAndAdministration,annualBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,annualTaxProvision,quarterlyTaxProvision,quarterlyRetainedEarnings,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,trailingCostOfRevenue,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingTaxProvision,quarterlyCapitalExpenditure,annualNetIncome,annualBeginningCashPosition,annualFreeCashFlow,annualCurrentDebt,annualCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,quarterlyLongTermDebt,annualInvestingCashFlow,annualPurchaseOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualNonCurrentDeferredRevenue,trailingPretaxIncome,trailingCashDividendsPaid,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,annualLongTermDebt,annualStockholdersEquity,trailingPurchaseOfInvestment,trailingNetIncome,trailingNetOtherInvestingChanges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualDepreciationAndAmortization,quarterlyGoodwill,annualChangeInWorkingCapital,annualCurrentLiabilities,annualRetainedEarnings,annualDilutedAverageShares,annualInventory,annualGoodwill,annualSaleOfInvestment,annualOtherShortTermInvestments,quarterlyInventory,annualCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,trailingOperatingIncome,annualAccountsPayable,quarterlyCashAndCashEquivalents,annualOperatingIncome,trailingGrossProfit,annualCapitalStock,quarterlyCashDividendsPaid,trailingResearchAndDevelopment,annualTotalRevenue,annualOtherIntangibleAssets,annualNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualDilutedEPS,trailingTotalRevenue,annualEndCashPosition,annualBasicEPS,quarterlyDilutedAverageShares,annualNetOtherInvestingChanges,quarterlyFreeCashFlow,trailingChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualGrossPPE,annualCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,trailingEndCashPosition,annualOtherNonCurrentLiabilities,annualPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
1483142400,,1207098832.61,,76405992860.47,27445073671.93,259720703.0,,15747166758.91,15296308561.57,-4459699581.12,3531165103.52,30656651574.72,,983677283.79,,,2574230514.51,,,7416784569.05,2441188631.73,-25930017967.06,444174240.79,11860933443.25,2722462988.26,31738269620.22,6518138004.99,-322613523.69,21598831905.22,4777634127.26,,-16198118628.6,1283661384.66,,,3531165103.52,72099983058.63,,21083538325.91,87584687668.47,4534619110.0,8003897153.0,8120369699.73,1041393120.17,305796737.41,27905900916.04,-3344030478.74,119429010669.72,1667761234.29,76405992860.47,27445073671.93,58980381718.83,60448628950.89,-15315477975.2,-11021729860.19,,3596253651.27,550497775.95,-15514669904.0,1740503877.73,30291645730.44,,-1391256012.66,2441188631.73,21154657664.43,3790733889.91,4771648754.0,-1858310188.47,,7416784569.05,11336192971.74,32972317288.86,-19630496121.91,-2328922551.8,937058167.61,1361964496.88,382680443.09,3743032473.0,,2574230514.51,,,163990680528.94,8120369699.73,,,,32972317288.86,31738269620.22,,,,77878468.9,129296023.5,23773507725.45,11336192971.74,5939625287.15,23037674856.1,-2679520946.45,58980381718.83,27905900916.04,8003897153.0,16090656826.07,23037674856.1,1720420657.05,129296023.5,16090656826.07,1448443114.94,60448628950.89,8250433471.03,,30656651574.72,27122981855.33,5336371567.0,,3998619278.0,-550357407.58,,93183521384.54,25808750838.88,27445073671.93,27252277878.83,,27252277878.83,3998619278.0,17715407773.28,0.305,,21598831905.22,0.305,,208110052.51,5277620241.82,,259720703.0,1054701753.97,-2059550857.8,27445073671.93,27122981855.33,4771648754.0,937058167.61,119429010669.72,,382680443.09,4637646771.44,25808750838.88,-1771997544.74,163990680528.94,87584687668.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490918400,,127553778.49,,,27291562386.88,,,,,,2729573234.85,36910167396.31,,5477745.07,,,2585307312.54,,,,,,,,2109182002.99,32872584407.58,7218460072.86,,20267447530.36,4721770872.41,0.15,-986815604.66,,7866227161.0,,,,,,,4534163198.96,,7899034104.42,,436691900.52,29085834990.22,,,1924025436.26,86898156284.12,27291562386.88,67470982124.52,61289967446.83,,-9874165750.0,,,,,2496689200.45,34988300954.88,,-518687383.3,,,,,,,7924482534.11,,33846797794.62,,,1179934074.18,1487333535.74,396595931.89,-1331384374.86,,,,,,,,,0.15,,,,,,,115226000.67,27769840882.02,17335158323.98,,23091151389.65,,,,,,,,,16873482781.0,,,,,,26804858082.96,,,,-259110342.58,,,,,26920084083.63,,,3998619278.0,21598831905.22,,,,,7866227161.0,,-1095971460.69,,268773485.68,185156566.73,-615039000.0,,,4705993012.18,1179934074.18,128760949571.35,,,,25434207255.55,-46320388.08,174771124206.86,87872967922.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498780800,,2226356022.61,,,27946121750.95,,,,,,3868218941.1,37809676484.3,,-113714405.02,,,2789808564.19,,,,,,,,2938642478.23,32682470126.73,8107394333.69,,23378989685.06,5232067031.59,,-545340209.56,,,,,,,,,5086354484.56,,7745095533.03,,470513548.27,29556288836.37,,,2459271156.28,92286118804.05,27946121750.95,74057179861.5,59024086975.68,,-9620700352.5,,,,,2875327302.1,37324964635.23,,-572917402.44,,,,,,,8844010143.57,,30874538864.61,,,1470108665.65,1988757608.01,471303090.17,3111542154.7,,,,,,,,,,,,,,,,285619257.6,29217570301.54,13729697307.22,,23141500142.7,,,,,,,,,19139702794.29,,,,,,29882970357.7,,,,-280072614.07,,,,,30168589615.3,,,3998619278.0,20267447530.36,,,,,,,4770154088.19,,268272622.83,479371321.95,-2092743338.86,,,6014421693.2,1470108665.65,133081266837.18,,,,25020866705.58,2230936034.43,181052268165.16,88766149361.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506729600,,971832167.74,,,27907448941.5,,,,,,4107272129.07,43654548949.33,,103425279.37,,,2861452042.09,,,,,,,,3375771657.59,38219398670.14,8865319986.36,,26168372591.98,5290659915.92,0.24,-965468545.5,,8137961197.0,,,,,,,5120929572.81,,7594947109.26,,700144724.76,26311194462.16,,,3144000584.92,104420213429.53,27907448941.5,81099012889.53,58535966695.42,,-5688249438.28,,,,,3574660070.44,39237412093.83,,-542165596.81,,,,,,,9081183332.08,,29883730894.35,,,1953110687.2,2443855860.16,635668951.99,2789382906.92,,,,,,,,,0.24,,,,,,-78884682.91,257308337.0,30372092107.47,19403453743.34,,23017945272.01,,,,,,,,,19784932621.98,,,,,,34791181838.51,,,,-1220822331.54,,,,,35048490175.51,,,7997238556.0,23378989685.06,,,,,8137961197.0,,688922101.16,,282844483.82,231771072.67,-1456868025.0,,,6105778408.58,1953110687.2,139634979584.95,,,,24758188934.38,-19621839.37,193535944910.69,89115731481.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514678400,,521771976.22,,100340173822.67,28287055309.51,254172355.79,,20515388025.93,19939358236.55,-2541669616.96,5571747712.54,43016241784.82,,67347167.13,,,3121664308.58,,,10447947623.61,6808342544.23,-32993551141.52,4655758350.89,19190036400.2,3789517844.04,35239522902.94,8910587745.38,7038215178.17,26254590256.11,5270890206.01,,-2539609478.27,1395035066.86,,,5571747712.54,118467630098.34,,33101762138.29,89297992806.85,5197910980.22,8009814758.0,6500274764.52,1343900720.3,-263449453.25,27898783968.43,-4300720625.93,133283175399.02,2994970320.66,100340173822.67,28287055309.51,78473527574.89,54809647824.13,-5123698.4,-7810435600.74,,9178366777.82,1055577399.1,-53540018.4,3639697539.37,40018714552.69,,-907899234.41,6808342544.23,21598831905.22,13716662578.43,3174887395.62,-3048202044.93,,10447947623.61,13572535350.44,26138374813.42,-5037233837.99,-6457131515.7,2205189117.2,3258419773.91,571128447.49,86217664.13,,3121664308.58,,,189638166629.52,6500274764.52,,,,26138374813.42,35239522902.94,,,,5078771747.12,384067087.32,31108126807.31,13572535350.44,7272733835.22,22583192662.42,-1058847253.6,78473527574.89,27898783968.43,8009814758.0,19850822463.67,22583192662.42,3847513945.06,384067087.32,19850822463.67,7658210029.19,54809647824.13,16258332195.39,,43016241784.82,34221837770.9,12586374112.36,,7997238556.0,-1288196756.74,,151569392236.63,24355807997.7,28287055309.51,34605904858.22,,34605904858.22,7997238556.0,26168372591.98,0.85,,26254590256.11,0.85,,62535786.55,9353557849.77,,254172355.79,794547523.38,-2292481151.84,28287055309.51,34221837770.9,3174887395.62,2205189117.2,133283175399.02,,571128447.49,10522267498.12,24355807997.7,4873221371.19,189638166629.52,89297992806.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522454400,,1162134952.15,,,28158948418.42,,,,,,5612829320.17,45670134629.78,,-30893718.8,,,3158873083.98,,,,,,,,3444481570.21,37159978364.09,9053194666.87,,25638182631.72,5105551377.54,0.24,-44339231.69,,7998477253.0,,,,,,,4918926071.21,,6036155128.67,,683574695.46,30027317289.29,,,3244169228.47,108247104228.15,28158948418.42,83320556398.19,54492865714.64,,-3625460370.61,,,,,3947643289.33,39212057376.95,,-691128442.92,,,,,,,13269624139.75,,26072801558.62,,,1919634540.67,2560594533.01,543156709.19,-616407624.39,,,,,,,,,0.24,,,,,,11439720.0,399300476.69,30158862710.08,20774360760.8,,22029990785.84,,,,,,,,,21417314774.45,,,,,,32688466426.84,,,,-91993178.0,,,,,33087766903.53,,,7997238556.0,26254590256.11,,,,,7998477253.0,,-1520334878.42,,622967973.95,200312341.74,-630000000.0,,,3585304520.98,1919634540.67,137813422112.83,,,,23682620303.29,63514595.1,196235109860.34,87988005632.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530316800,,1315591872.99,,,28242865514.03,,,,,,4577127002.57,47804442438.45,,43452260.8,,,2653164919.67,,,,,,,,4334543565.23,36974197469.55,8874863027.5,,30670147348.79,5656310565.22,,-3784250931.21,,,,,,,,,3750848498.9,,6009042894.28,,601073841.09,30262702010.52,,,3922708392.98,108855201496.13,28242865514.03,84723065599.51,54087879700.48,,-5260324752.19,,,,,3218552462.28,43051849531.93,,-815136222.95,,,,,,,16868040768.41,,25740274167.87,,,2472952818.82,3321634551.89,1101980504.9,5031964717.07,,,,,,,,,,,,,,,0.0,1090763052.2,34176986504.43,15520159620.68,,22332093265.8,,,,,,,,,21051363532.53,,,,,,37040344786.58,,,,-323465051.76,,,,,38131107838.78,,,7997238556.0,25638182631.72,,,,,,,8498395792.35,,421158524.25,411835172.25,-4332395000.0,,,4741754576.66,2472952818.82,138810945299.99,,,,23489897815.1,-1100352390.34,197399526605.32,88544325109.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538265600,,4514914114.57,,,29929607327.98,,,,,,4655668857.05,44961012114.5,,-35905591.9,,,2730330706.19,,,,,,,,2810134979.55,37379718831.97,7646806932.22,,25151796316.8,4809769874.93,0.18,-738100611.54,,8937244573.0,,,,,,,3819835884.14,,6289839029.29,,602032872.18,30431903093.57,,,2767190556.94,104855526457.68,29929607327.98,82700683178.29,56647127003.59,-4720822.7,-2724924457.89,,,,,2837037057.29,35918554341.41,,-962684589.04,,,,,,,18297861968.29,,26932197837.29,,,1608704023.13,2165157684.76,1320446660.42,-5518351031.99,,,,,,,,933033239.02,0.18,,,,,,0.0,2761360305.16,28271747409.19,17222707185.51,,23414472904.0,,,,,,,,,21060375079.14,,,,,,30623467662.77,,,,-2194606150.93,,,,,33384827967.93,,,7997238556.0,30670147348.79,,,,,8937244573.0,,-2955558274.72,,469081445.95,42944422.61,-4229298958.66,,,4372831525.04,1608704023.13,139347810181.88,,,,24324124819.33,-122351543.88,199293322056.94,94437795599.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546214400,,5192374001.13,,108105462937.38,32302173487.35,548846042.43,,21689906170.78,16878677907.66,-3683603315.61,4756094331.75,46794371199.93,,-3991146.27,,,3056191818.8,,,21942757562.47,8657527308.21,-18798295792.82,8125348019.3,22345981959.95,4975576368.94,39313734834.02,9994553948.11,-1362538605.62,34379938275.41,6118274353.09,,-2614273182.12,1150950408.7,,4320202297.54,4756094331.75,123686413712.22,,35569418574.7,97170902236.8,4389067453.41,8016228989.0,5772705450.5,2232550533.06,345869124.33,32443962374.77,-1347529707.73,143017037400.49,3924215897.14,108105462937.38,32302173487.35,88616964777.39,54400072623.1,156739.1,-7187586212.13,,11625733542.47,732337351.55,-12739088.6,3876279595.02,41073371036.63,,-1214654060.7,8657527308.21,26254590256.11,18578025417.64,5472765901.24,-4193097863.09,,21942757562.47,13155363494.2,23173532309.12,-7180963956.56,-15814013079.57,2656235925.59,3578346772.81,2922165777.35,9228141958.61,,3056191818.8,,,205276365174.18,5772705450.5,,1636036605.64,,23173532309.12,39313734834.02,,,,241084364.63,4115199600.23,31078817088.52,13155363494.2,7336747475.72,23037386296.04,3072684462.3,88616964777.39,32443962374.77,8016228989.0,20674287133.47,23037386296.04,12185014940.84,4115199600.23,20674287133.47,252524084.63,54400072623.1,22261628733.25,,46794371199.93,38209952558.31,13879512403.92,,7997238556.0,-1583033482.4,,159255832286.92,23739603972.53,32302173487.35,42325152158.54,,42325152158.54,7997238556.0,25151796316.8,1.08,,34379938275.41,1.08,,-27338196.17,14555522778.43,,548846042.43,1051360471.8,-6622319120.91,32302173487.35,38209952558.31,5472765901.24,2656235925.59,143017037400.49,,2922165777.35,13858284075.53,23739603972.53,-203349266.5,205276365174.18,97170902236.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553990400,,2139208227.11,,,35098340998.05,,,,,,4700675643.98,55944437840.64,,,,,2901910541.55,,,,,,,,4291650123.0,42128317542.15,9791973469.89,,27885030682.33,5437416177.9,0.33,-4588356026.59,,7852579633.0,,,,,,,4308513919.74,,5783148099.48,,810888904.05,34916326471.23,,,4183471650.74,116859372418.82,35098340998.05,96443808603.63,54806345191.21,,-5819134929.6,,,,,4354557291.99,45211633342.55,,-1141277401.5,,,,,,,21447131201.15,,21619597801.52,,,2591351278.94,3372582746.69,2816795356.49,-6494907593.08,,,,,,,,987034315.15,0.33,,,,,,97380570.97,7112834821.02,35419659872.66,21068856020.57,,22583763387.81,,,,,,,,,22766588181.56,,,,,,32226199923.48,,,,-138338034.79,,,,,39339034744.5,,,7933873895.0,34379938275.41,,,,,7852579633.0,,-2416024901.91,,525237909.71,108178472.26,-5611000000.0,,,6000985956.82,2591351278.94,151250153794.84,,,,22920591586.14,96622744.6,216753622253.86,99894249835.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561852800,,5342947623.3,,,37180907102.1,,,,,,5543296568.75,58976531318.82,,,,,4379886455.35,,,,,,,,4655865307.44,42411706946.8,9969380597.46,,34620877495.59,5896117662.58,,-1631009708.45,,,,,,,,,4342378163.78,,5808202256.26,,646933216.39,35390978879.58,,,4167170775.84,127822035691.51,37180907102.1,107522910562.47,58963477220.26,,-7021103830.14,,,,,4073262934.88,45650863177.93,,-1277763469.36,,,,,,,22540723244.85,,22459683997.91,,,2696137098.95,3520237559.45,2773002067.01,6735846813.26,,,,,,,,1410707521.11,,,,,,,5212818.8,6558250278.29,35681482580.47,18764187003.6,,23085316276.41,,,,,,,,,23802781414.05,,,,,,40507821740.72,,,,-183408039.96,,,,,47066072019.01,,,7933873895.0,27885030682.33,,,,,,,5423430018.73,,800440228.0,488694531.6,-5706960726.11,,,9032556671.76,2696137098.95,166486387782.73,,,,23334603437.23,-455534827.83,232347321708.25,104525286016.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569801600,-5035795271.26,4846451273.59,22871486978.6,,38393040679.93,,17227320598.1,,,,5618444155.61,50990460924.18,1192452562.21,-9263264.71,12907531827.83,25151796316.8,4388447620.29,9714477423.31,-832232795.66,,,,,,2967286562.55,42877114285.21,8193081374.28,,29010004314.2,5419678785.03,0.22,-468377207.61,,8048877817.0,,,,14749092797.68,,,4187361061.17,,5749330198.0,,530671332.87,35971650915.16,,,2967036081.75,117028710581.33,38393040679.93,95880180577.34,61083252445.03,,-3513854649.52,129832639536.8,,,,2773402589.25,35845761369.43,2334362577.64,-1402100339.7,,,,,,,22352283387.08,,22464799259.95,,,1770753119.83,2436364748.88,3689534850.96,-5610873181.39,-9302016124.77,,15241894405.47,-4327776617.65,,,17520981125.13,1188033797.19,0.22,,,-21852050425.63,9714477423.31,-6535694.68,,5915503031.17,27652679995.15,19295903607.45,,23407800301.6,,,,,,,,,21186964785.77,,,,15077502411.14,,35656958528.19,,37948989389.74,,-2422997060.5,5221812239.09,,,,41572461559.36,-23541679621.39,,7933873895.0,34620877495.59,,167781628926.54,,,8048877817.0,,-2813835097.57,3858207997.4,750646494.95,250480.8,-3911770578.61,,,8037340704.45,1770753119.83,156963433022.37,29043671398.99,,,23242806627.43,-269971445.93,223726604498.05,106697893916.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
